county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Ballard,Kentucky,170,0.018644881905575842,0.5,8216,155,20.458640295,49,5.3381540461,33.3091536967452,21.074502511,6.9215740999,66.441169365,335.9,3993.1545921,2069.1333982473225,1886.5628042843232,2069.1333982473225
Baltimore,Maryland,30697,0.03406562608361952,0.5,825666,10845,13.277830309,53,4.2317335352,1379.87742413788,13.813202217,4.0416017195,511.31007773,538,1427.4912233,3717.8471682254085,1313.4851138353765,3717.8471682254085
Baltimore city,Maryland,25707,0.03318132208192623,0.6666666666666666,621000,12413,20.262595245,46,6.2835032993,7671.99001950679,18.766013095,5.6785317403,1566.3122092,1248.4,3714.0510710999997,4139.613526570049,1998.8727858293075,4139.613526570049
Bamberg,South Carolina,764,0.022181412736633085,0.5,15057,326,17.8340138,25,4.8174608464,38.2772598302702,22.696039386,6.5130260521,419.02718648,862.2,2097.5832192999997,5074.051935976622,2165.1059307963073,5074.051935976622
Bandera,Texas,281,0.02059629178870111,0.5,21015,351,13.663315439,39,4.3136955805,26.5678250785021,16.935833605,3.4072580645,137.71815268,219.2,1766.4118112,1337.140137996669,1670.2355460385438,1337.140137996669
Banks,Georgia,849,0.022759804322541932,0.6666666666666666,18336,303,17.722278257,47,4.2585189021,79.0036130448845,17.236689605,3.1138603481,194.75777002,182.5,2757.0789866,4630.235602094241,1652.4869109947645,4630.235602094241
Bannock,Idaho,4908,0.028153599075749797,0.3333333333333333,83815,1073,14.424020575,43,4.4990504424,75.3413980820885,14.893500207,2.7323321979,254.27756654,396.4,2291.2082656,5855.75374336336,1280.2004414484281,5855.75374336336
Baraga,Michigan,568,0.02240120894398543,0.75,8612,153,19.338342617,28,4.6560048613,9.58733240425228,16.124144828,6.1083123426,333.40503334,154,2336.72858,6595.448211797492,1776.5908035299583,6595.448211797492
Barbour,West Virginia,1217,-5.95788453783072,0.9601593625498008,21733.31983805668,377.1174089068826,22.63216149567611,37,5.118280894698786,39.84169930269949,26.64467157776518,5.5876640807109315,432.80468381700405,475.3785425101214,3560.4044117676112,5599.696728655976,1735.203879190705,5599.696728655976
Barnes,North Dakota,1093,0.023237620995207216,0.3333333333333333,11033,130,15.68860574,58,4.842717767,7.39699012815962,11.999716577,2.6899033908,180.92179655,270.2,1291.3026965,9906.643705247892,1178.2833318227138,9906.643705247892
Barnstable,Massachusetts,3372,0.025809889705902495,0.6,214703,2798,11.853906316,52,4.3886760324,544.646376428035,10.040827353,4.279630028,399.5658922,92.8,855.63339842,1570.5416319287574,1303.1955771461041,1570.5416319287574
Barnwell,South Carolina,1001,0.025342184413626283,0.5,21917,449,19.713759309,35,6.0796440154,39.966904791784,22.072298052,4.7824523553,730.14419776,815.2,4066.5434380999995,4567.230916640051,2048.638043527855,4567.230916640051
Barren,Kentucky,2155,0.0262948783980996,0.5,43287,749,22.395924226,48,4.1369539551,88.7858671004504,24.276541595,4.4302805496,123.96551922,360.7,4678.1721480999995,4978.399981518701,1730.311640908356,4978.399981518701
Barron,Wisconsin,3827,0.02744969151623015,0.3,45548,570,16.573061952,47,3.9447589638,52.794185371984,14.02935223,3.3841487748,45.920895216,243.1,1936.2969753000002,8402.125230526039,1251.4270659524018,8402.125230526039
Barrow,Georgia,3673,0.027695556759198145,0.6,73340,1091,17.083548591,46,3.7066114174,457.325383991167,17.056110801,3.2850119753,497.24463225,359.2,2544.6537802999997,5008.181074447777,1487.5920370875374,5008.181074447777
Barry,Michigan,2410,-0.8727485780014482,0.9120879120879121,47654.28125,702.208984375,18.723440135916015,40.05859375,3.8528929743771485,76.9278013154466,17.0585008827168,3.191130936240625,205.9814080086133,201.928515625,2900.6112846482424,5057.258103121637,1473.5485793839352,5057.258103121637
Bartholomew,Indiana,3933,0.0273758488924544,0.6,80203,1022,18.588754061,55,4.2053574797,197.110388061039,16.108504549,2.6161828016,95.543953301,279.1,3301.7168927999996,4903.806590775906,1274.2665486328442,4903.806590775906
Barton,Kansas,1782,-0.7357676136404656,0.9795918367346939,20923.85211267605,271.4295774647886,18.610652135063383,33.0774647887324,4.553626971347183,26.24091882323403,18.84578966087324,3.2136181934366195,330.3251946783803,300.99859154929584,3508.0456905711267,8516.5962290492,1297.2256542587188,8516.5962290492
Bartow,Georgia,5503,0.02491514239977711,0.5714285714285714,101942,1501,19.176366416,48,4.1380829662,221.8320086302,16.631131657,3.779458424,467.95743699,464.5,3155.5574533000004,5398.1675854897885,1472.405877852112,5398.1675854897885
Bastrop,Texas,2427,0.027079141919403606,0.5,78286,1145,15.633213058,41,4.1763605626,88.1428379075441,20.343852258,3.3621749295,406.70173732,897.8,3433.7997846999997,3100.171167258514,1462.585902971157,3100.171167258514
Bates,Missouri,581,0.020492636013926976,0.5,16513,261,19.935364701,30,4.1677512972,19.7361421655974,19.50929522,3.8065326633,473.24913186,244.9,3329.4730747000003,3518.4400169563373,1580.57288197178,3518.4400169563373
Bath,Kentucky,316,0.021283862675933657,0.5,12113,257,23.005928436,41,4.5075940145,43.4473613040526,24.840250379,6.7340791738,28.682646999,242.4,5053.5987749,2608.7674399405596,2121.687443242797,2608.7674399405596
Baxter,Arkansas,1510,0.026469308894289917,0.5,40992,797,16.242815884,47,3.7735142496,73.954947041422,18.946243722,4.118325943,182.38793547,239.4,3634.6976176,3683.6455893832945,1944.2818110850899,3683.6455893832945
Bay,Michigan,8969,-1.0377996405247734,0.8632634457611669,141684.53992395438,2353.5380228136883,20.212621518307984,44.07604562737642,4.3321922597712925,237.56565002331976,17.096807895809885,4.386972299242395,411.1477285452281,418.62946768060834,2941.1409396269964,6330.260171514751,1661.1113845426542,6330.260171514751
Bayfield,Wisconsin,743,0.023293806779346147,0.5,14987,219,16.058552195,50,4.0067631196,10.1409706335318,13.888929011,4.9001576458,209.01068277,206.6,1844.1851711999998,4957.629945953159,1461.266430906786,4957.629945953159
Baylor,Texas,57,0.005402216804437496,0.5,3639,86,14.241596398,18,4.3383062531,4.19490121587162,17.134811954,3.2567049808,236.01277246,335.1,4221.2518195,1566.3643858202804,2363.2866172025283,1566.3643858202804
Beadle,South Dakota,2351,0.0238368153792587,0.75,18155,211,15.617401318,53,3.3441186259,14.4235494079675,12.979679951,2.5948103792,258.15918911,313.9,5786.4710676,12949.600660974938,1162.2142660424126,12949.600660974938
Bear Lake,Idaho,206,0.030303256880921163,0.5,5928,67,13.165872417,23,4.2661641845,6.08020093940995,13.549483693,2.8924162257,176.07109919,165.9,2258.0645160999998,3475.033738191633,1130.229419703104,3475.033738191633
Beaufort,South Carolina,7372,-3.767888752508165,0.9594594594594594,112889.14999999998,1443.2346153846152,15.20178698236923,52.488461538461536,4.748772504847308,183.5182200659935,15.584446915976923,3.8765659512234616,344.1287223974615,491.21576923076924,2748.1525647523076,6530.299856097775,1278.452903033299,6530.299856097775
Beauregard,Louisiana,1461,0.025646921321494022,0.5,36435,661,20.721538129,42,5.5522766508,31.4816304261659,19.8806091,5.3156374639,108.60898018,376.4,4397.7764052,4009.8806093042404,1814.1896528063676,4009.8806093042404
